Name,Distribution,Scatteredness
CA-CondMat,"17(1), 1(9), 1(2) [1, 9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.4302764163265601
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"9(1), 1(14), 1(2) [1, 1, 1, 1, 14, 1, 1, 1, 1, 1, 2]",0.6607950937950938
CA-AstroPh,"5(1), 1(22), 2(2) [1, 22, 2, 2, 1, 1, 1, 1]",0.7919738863287251
Wiki-Vote,"2(1), 1(25) [1, 1, 25]",0.9567901234567902
Cit-HepTh,"6(1), 1(18), 1(2) [1, 1, 18, 1, 2, 1, 1, 1]",0.7776098901098901
inf-power,"18(1), 1(4), 2(2), 1(3) [1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3]",0.2853153994327796
cora,"1(4), 24(1) [4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.24342707777691094
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"1(17), 6(1), 1(2) [17, 1, 1, 1, 2, 1, 1, 1]",0.7687142857142858
Cit-HepPh,"17(1), 1(3), 2(2), 1(4) [1, 1, 1, 3, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0.2938818585034308
inf-openflights,"1(24), 1(2), 1(1) [24, 2, 1]",0.9382716049382716
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"11(1), 1(2), 1(6), 1(5) [1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 1, 5, 1, 1]",0.44103731916231914
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"7(1), 1(23), 1(3) [1, 23, 1, 1, 1, 1, 3, 1, 1]",0.7826960076960078
Name,Distribution,Scatteredness
email-univ,"3(2), 1(13), 7(1) [2, 13, 1, 2, 1, 2, 1, 1, 1, 1, 1]",0.6193542568542568
facebook,"1(4), 7(1), 1(14), 2(2), 1(3) [4, 1, 1, 1, 14, 2, 1, 3, 1, 1, 1, 2]",0.5849961670274171
oregon2_010331,"4(1), 1(17), 1(2) [1, 1, 1, 1, 17, 2]",0.8239130434782608
oregon1_010331,"7(1), 1(9), 1(7) [1, 1, 1, 1, 1, 9, 1, 7, 1]",0.6012594893029676
CA-CondMat,"18(1), 1(8), 1(2) [1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.39634784489798863
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"1(12), 9(1), 2(2) [12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.5974617604617605
CA-AstroPh,"2(2), 1(22), 5(1) [2, 22, 2, 1, 1, 1, 1, 1]",0.7919738863287251
Wiki-Vote,"3(1), 1(24) [1, 24, 1, 1]",0.9290123456790123
Cit-HepTh,"1(12), 6(1), 1(2), 2(3) [12, 1, 2, 3, 1, 1, 1, 1, 1, 3]",0.609447496947497
inf-power,"18(1), 1(4), 2(2), 1(3) [1, 1, 1, 1, 4, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.2853153994327796
cora,"25(1), 1(3) [1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.20908641843625161
inf-euroroad,"2(2), 29(1) [2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"8(1), 1(2), 1(15) [1, 1, 1, 2, 1, 1, 1, 1, 1, 15]",0.6971587301587301
Cit-HepPh,"17(1), 2(2), 1(3), 1(4) [1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4]",0.2938818585034308
inf-openflights,"1(1), 1(26) [1, 26]",0.9814814814814814
